month,state,handgun,rifle,total,state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2020-05,Indiana,30133,14420,44553,,,,,,,,,,,,,,
2020-05,Iowa,287,2825,3112,,,,,,,,,,,,,,
2020-05,Kansas,10020,5595,15615,,,,,,,,,,,,,,
2020-05,Kentucky,20881,11275,32156,,,,,,,,,,,,,,
2020-05,Louisiana,20064,8025,28089,,,,,,,,,,,,,,
2020-05,Maine,5374,3724,9098,,,,,,,,,,,,,,
2020-05,Mariana Islands,8,4,12,,,,,,,,,,,,,,
2020-05,Maryland,5975,6775,12750,,,,,,,,,,,,,,
2020-05,Massachusetts,5743,2665,8408,,,,,,,,,,,,,,
2020-05,Michigan,39342,20339,59681,,,,,,,,,,,,,,
2020-05,Minnesota,13770,11706,25476,,,,,,,,,,,,,,
2020-05,Mississippi,18313,7363,25676,,,,,,,,,,,,,,
2020-05,Missouri,31302,16484,47786,,,,,,,,,,,,,,
2020-05,Montana,5835,5797,11632,,,,,,,,,,,,,,
2020-05,Nebraska,120,2026,2146,,,,,,,,,,,,,,
2020-05,Nevada,10720,3997,14717,,,,,,,,,,,,,,
2020-05,New Hampshire,7797,3760,11557,,,,,,,,,,,,,,
2020-05,New Jersey,5316,3859,9175,,,,,,,,,,,,,,
2020-05,New Mexico,9638,4888,14526,,,,,,,,,,,,,,
2020-05,New York,5312,14212,19524,,,,,,,,,,,,,,
2020-05,North Carolina,2365,18508,20873,,,,,,,,,,,,,,
2020-05,North Dakota,2734,2740,5474,,,,,,,,,,,,,,
2020-05,Ohio,37486,17996,55482,,,,,,,,,,,,,,
2020-05,Oklahoma,18787,9863,28650,,,,,,,,,,,,,,
2020-05,Oregon,22539,13415,35954,,,,,,,,,,,,,,
2020-05,Pennsylvania,56455,16255,72710,,,,,,,,,,,,,,
2020-05,Puerto Rico,1252,135,1387,,,,,,,,,,,,,,
2020-05,Rhode Island,1571,926,2497,,,,,,,,,,,,,,
2020-05,South Carolina,22675,7524,30199,,,,,,,,,,,,,,
2020-05,South Dakota,3342,3037,6379,,,,,,,,,,,,,,
2020-05,Tennessee,38522,17799,56321,,,,,,,,,,,,,,
2020-05,Texas,83977,36456,120433,,,,,,,,,,,,,,
2020-05,Utah,7550,5265,12815,,,,,,,,,,,,,,
2020-05,Vermont,2660,1948,4608,,,,,,,,,,,,,,
2020-05,Virgin Islands,9,0,9,,,,,,,,,,,,,,
2020-05,Virginia,36930,16775,53705,,,,,,,,,,,,,,
2020-05,Washington,26162,12578,38740,,,,,,,,,,,,,,
2020-05,West Virginia,10193,7152,17345,,,,,,,,,,,,,,
2020-05,Wisconsin,25506,11577,37083,,,,,,,,,,,,,,
2020-05,Wyoming,2902,2591,5493,,,,,,,,,,,,,,
2020-04,Alabama,28951,12512,41463,,,,,,,,,,,,,,
2020-04,Alaska,3942,3275,7217,,,,,,,,,,,,,,
2020-04,Arizona,33391,13143,46534,,,,,,,,,,,,,,
2020-04,Arkansas,13814,8463,22277,,,,,,,,,,,,,,
2020-04,California,59219,31759,90978,,,,,,,,,,,,,,
2020-04,Colorado,29865,16199,46064,,,,,,,,,,,,,,
2020-04,Connecticut,4921,1802,6723,,,,,,,,,,,,,,
2020-04,Delaware,3572,1308,4880,,,,,,,,,,,,,,
2020-04,District of Columbia,100,1,101,,,,,,,,,,,,,,
2020-04,Florida,84431,26731,111162,,,,,,,,,,,,,,
2020-04,Georgia,33720,11724,45444,,,,,,,,,,,,,,
2020-04,Guam,132,59,191,,,,,,,,,,,,,,
2020-04,Hawaii,0,0,0,,,,,,,,,,,,,,
2020-04,Idaho,9248,7050,16298,,,,,,,,,,,,,,
2020-04,Illinois,30500,11184,41684,,,,,,,,,,,,,,
2020-04,Indiana,29904,14843,44747,,,,,,,,,,,,,,
2020-04,Iowa,296,3284,3580,,,,,,,,,,,,,,
2020-04,Kansas,10417,5632,16049,,,,,,,,,,,,,,
2020-04,Kentucky,20712,12196,32908,,,,,,,,,,,,,,
2020-04,Louisiana,18563,7462,26025,,,,,,,,,,,,,,
2020-04,Maine,6054,3835,9889,,,,,,,,,,,,,,
2020-04,Mariana Islands,7,1,8,,,,,,,,,,,,,,
2020-04,Maryland,5717,8524,14241,,,,,,,,,,,,,,
2020-04,Massachusetts,1407,674,2081,,,,,,,,,,,,,,
2020-04,Michigan,23375,13600,36975,,,,,,,,,,,,,,
2020-04,Minnesota,13792,10295,24087,,,,,,,,,,,,,,
2020-04,Mississippi,17677,7256,24933,,,,,,,,,,,,,,
2020-04,Missouri,32009,17962,49971,,,,,,,,,,,,,,
2020-04,Montana,6010,5399,11409,,,,,,,,,,,,,,
2020-04,Nebraska,146,2177,2323,,,,,,,,,,,,,,
2020-04,Nevada,12225,3870,16095,,,,,,,,,,,,,,
2020-04,New Hampshire,8801,4512,13313,,,,,,,,,,,,,,
2020-04,New Jersey,4388,4266,8654,,,,,,,,,,,,,,
2020-04,New Mexico,7439,3798,11237,,,,,,,,,,,,,,
